6	27.83	1.54	0.5	1.75	1.25	3	3.75	3.25	3.25	5	3.25	1.75	100	3	1
6	20.17	5.625	0.5	1.75	1.25	3	1.71	3.25	2.75	0	2.75	3.5	120	0	1
6	32.08	4	0.5	1.75	1.5	3	2.5	3.25	2.75	0	3.25	1.75	360	0	1
6	33.17	1.04	0.5	1.75	5.5	2.25	6.5	3.25	2.75	0	3.25	1.75	164	31285	1
6.25	22.92	11.585	0.5	1.75	44	3	0.04	3.25	2.75	0	2.75	1.75	80	1349	1
6	54.42	0.5	0.75	2	2.5	2.25	3.96	3.25	2.75	0	2.75	1.75	180	314	1
6	42.5	4.915	0.75	2	1.25	3	3.165	3.25	2.75	0	3.25	1.75	52	1442	1
6	22.08	0.83	0.5	1.75	4	2.25	2.165	2.75	2.75	0	3.25	1.75	128	0	1
6	29.92	1.835	0.5	1.75	4	2.25	4.335	3.25	2.75	0	2.75	1.75	260	200	1
6.25	38.25	6	0.5	1.75	2.5	3	1	3.25	2.75	0	3.25	1.75	0	0	1
6	48.08	6.04	0.5	1.75	2.5	3	0.04	2.75	2.75	0	2.75	1.75	0	2690	1
6.25	45.83	10.5	0.5	1.75	1	3	5	3.25	3.25	7	3.25	1.75	0	0	1
6	36.67	4.415	0.75	2	2.5	3	0.25	3.25	3.25	10	3.25	1.75	320	0	1
6	28.25	0.875	0.5	1.75	1.5	3	0.96	3.25	3.25	3	3.25	1.75	396	0	1
6.25	23.25	5.875	0.5	1.75	1	3	3.17	3.25	3.25	10	2.75	1.75	120	245	1
6	21.83	0.25	0.5	1.75	4.5	2.25	0.665	3.25	2.75	0	3.25	1.75	0	0	1
6.25	19.17	8.585	0.5	1.75	44	2.25	0.75	3.25	3.25	7	2.75	1.75	96	0	1
6	25	11.25	0.5	1.75	4	3	2.5	3.25	3.25	17	2.75	1.75	200	1208	1
6	23.25	1	0.5	1.75	4	3	0.835	3.25	2.75	0	2.75	3.5	300	0	1
6.25	47.75	8	0.5	1.75	4	3	7.875	3.25	3.25	6	3.25	1.75	0	1260	1
6.25	27.42	14.5	0.5	1.75	4.75	2.25	3.085	3.25	3.25	1	2.75	1.75	120	11	1
6.25	41.17	6.5	0.5	1.75	1	3	0.5	3.25	3.25	3	3.25	1.75	145	0	1
6.25	15.83	0.585	0.5	1.75	4	2.25	1.5	3.25	3.25	2	2.75	1.75	145	0	1
6.25	47	13	0.5	1.75	4.25	3.75	5.165	3.25	3.25	9	3.25	1.75	0	0	1
6	56.58	18.5	0.5	1.75	4.5	3.75	15	3.25	3.25	17	3.25	1.75	0	0	1
6	57.42	8.5	0.5	1.75	5	2.25	7	3.25	3.25	3	2.75	1.75	0	0	1
6	42.08	1.04	0.5	1.75	1.25	3	5	3.25	3.25	6	3.25	1.75	500	10000	1
6	29.25	14.79	0.5	1.75	5.25	3	5.04	3.25	3.25	5	3.25	1.75	168	0	1
6	42	9.79	0.5	1.75	4.75	2.25	7.96	3.25	3.25	8	2.75	1.75	0	0	1
6	49.5	7.585	0.5	1.75	4.25	3.75	7.585	3.25	3.25	15	3.25	1.75	0	5000	1
6.25	36.75	5.125	0.5	1.75	5	3	5	3.25	2.75	0	3.25	1.75	0	4000	1
6.25	22.58	10.75	0.5	1.75	1	3	0.415	3.25	3.25	5	3.25	1.75	0	560	1
6	27.83	1.5	0.5	1.75	1.25	3	2	3.25	3.25	11	3.25	1.75	434	35	1
6	27.25	1.585	0.5	1.75	44	2.25	1.835	3.25	3.25	12	3.25	1.75	583	713	1
6.25	23	11.75	0.5	1.75	4.75	2.25	0.5	3.25	3.25	2	3.25	1.75	300	551	1
6	27.75	0.585	0.75	2	44	3	0.25	3.25	3.25	2	2.75	1.75	260	500	1
